,basin_id,NSE_CNN_Transformer_135,NSE_CNN_LSTM_135,NSE_LSTM_135,NSE_CNN_Transformer_5_19196745_135,NSE_CNN_Transformer_7_19196745_135,NSE_CNN_Transformer_4_19196745_135,NSE_CNN_Transformer_8_19196745_135,NSE_CNN_Transformer_1_19196745_135,NSE_CNN_Transformer_2_19196745_135,NSE_CNN_Transformer_6_19196745_135,NSE_CNN_Transformer_3_19196745_135,NSE_CNN_LSTM_2_19196063_135,NSE_CNN_LSTM_8_19196063_135,NSE_CNN_LSTM_4_19196063_135,NSE_CNN_LSTM_7_19196063_135,NSE_CNN_LSTM_6_19196063_135,NSE_CNN_LSTM_1_19196063_135,NSE_CNN_LSTM_3_19196063_135,NSE_CNN_LSTM_5_19196063_135,NSE_LSTM_5_19196755_135,NSE_LSTM_2_19196755_135,NSE_LSTM_1_19196755_135,NSE_LSTM_3_19196755_135,NSE_LSTM_6_19196755_135,NSE_LSTM_8_19196755_135,NSE_LSTM_7_19196755_135,NSE_LSTM_4_19196755_135,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,geol_1st_class,glim_1st_class_frac,geol_2nd_class,glim_2nd_class_frac,carbonate_rocks_frac,geol_porostiy,geol_permeability,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean,huc_02,gauge_name,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,water_frac,organic_frac,other_frac,gauge_lat,gauge_lon,elev_mean,slope_mean,area_gages2,area_geospa_fabric,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,dom_land_cover_frac,dom_land_cover,root_depth_50,root_depth_99,mann_whitney_test_res,label
0,6784000,-0.935136998,0.364635463,0.128158788,-1.127057792,-1.025992473,-0.819147082,-0.906640501,-1.421659346,-0.719945072,-0.222925709,-0.99133088,0.231344357,0.481957738,0.414949076,0.28456291,0.339552028,0.404076555,0.387027906,0.373613138,0.422595058,0.156335903,-0.185815081,-0.652467654,0.539717257,0.277074855,0.065291861,0.402538103,1.745111567,2.476443956,0.747034934,0.115205161,1.419074862,24.6,1.277922078,jja,287.05,6.407366071,djf,Siliciclastic sedimentary rocks,1,,0,0,0.19,-15.2,0.091202706,0.05226182,0.958776945,0.728175056,0.793128909,0.027230505,0.180859326,1.75,2.5,7.95,10.6,0,188.6,10,"SOUTH LOUP R AT ST. MICHAEL, NEBR.",29.85252122,1.500000015,0.447473185,1.1654838,0.673418033,37.59028671,51.16202606,11.07202563,0,0,0.171745223,41.03244,-98.74053,790.29,7.87218,6019.74,6386.88,0.0143,1.429636165,1.196022767,0.566173065,0.369921948,0.656996083,    Grasslands,0.140580235,1.5,0.278632479,0.236476675
2,7142300,-0.120665817,0.133505623,0.175654823,-0.123346155,-0.11786508,-0.095926489,-0.132779897,-0.213968791,-0.072328128,-0.058049298,-0.151062702,0.240792576,0.205073895,0.198600824,0.21126173,0.067950659,0.087701262,0.014332632,0.042331402,0.29169405,0.157172677,0.200726096,0.102454175,0.149483652,0.136834811,0.224306586,0.14256654,1.806744695,2.832697673,0.643003667,0.086791678,1.567846127,25.1,1.283887468,jja,304.1,8.034346103,djf,Unconsolidated sediments,1,,0,0,0.2413,-11.8217,0.019338256,0.01070337,1.959084881,0.612135073,2.780576969,0,0.048395397,7.55,3.282608696,122.95,39.03174603,0.132785763,204.1,11,"RATTLESNAKE C NR MACKSVILLE, KS",49.53190014,1.500000015,0.423554327,1.420600712,0.647241958,53.13876556,30.58848489,16.18547524,0,0,0,37.87159,-98.87614,677.58,4.76724,1819.94,1923.39,0.0003,1.16382103,0.848938457,0.487824779,0.247151536,0.521780795,    Grasslands,0.148693152,1.5,0.441802642,-0.0421492
3,5120500,-0.03925263,-0.016551644,0.417049535,-0.061173464,-0.114375468,-0.022932108,-0.057999948,-0.145095556,0.002205874,0.02511839,0.060231236,-0.217492653,0.023195991,-0.178292688,-0.083705565,0.040620852,0.155220362,0.09665902,0.03138153,0.209760911,0.500338639,0.516405728,0.24372768,0.531564677,0.475787408,0.387575471,0.471235769,1.311843943,2.038847283,0.801899394,0.19176627,1.554184318,24.3,1.369014085,jja,304.15,8.154155496,djf,Unconsolidated sediments,0.99840264,Water bodies,0.00159736,0,0.1598,-13.7671,0.040408306,0.030802678,0.716965079,0.465859351,3.953146529,0,0.200609375,57.2,26.60465116,211,50.23809524,0.055167693,218.6,9,"WINTERING RIVER NR KARLSRUHE, ND",42.15458457,1.500000015,0.432560788,1.562377431,0.637739484,44.96709511,33.08095918,19.70129797,0,0,2.254702202,48.13834,-100.53986,515.77,5.85036,1509.83,1509.83,0.0019,1.823254724,1.611730307,0.622140439,0.469873902,1,    Croplands,0.18,1.5,0.0001554,-0.433601179
4,6470800,0.065884434,0.089248053,0.10621763,0.033613145,0.109781755,0.023381541,0.053713125,0.039798541,0.09058823,0.082563217,0.093635922,0.124995917,0.114562348,0.081036337,0.079061623,0.098891745,0.090416791,0.064758619,0.060261045,0.06872186,0.112745911,0.139020105,0.069084679,0.15096917,0.080749662,0.098584864,0.129864787,1.557598905,2.105190897,0.824561369,0.147189465,1.351561618,24.95,1.393854749,jja,296.7,7.353159851,djf,Unconsolidated sediments,0.99991464,Siliciclastic sedimentary rocks,8.54E-05,0,0.1641,-13.6636,0.055263142,0.0354797,0.685094065,0.365344763,4.613983341,0,0.242113083,88.5,26.41791045,232.65,69.44776119,0.065571526,222.65,10,"BEAR CREEK NR OAKES, ND",49.85863268,1.500000015,0.436004881,1.674946032,0.643548419,43.73978623,37.57618394,18.29283968,0,0,0.267327401,46.22524,-98.07177,423.26,3.54676,1071.14,995.65,0.0061,2.206875261,2.009665053,0.700221525,0.558942579,1,    Croplands,0.18,1.5,0.328205128,-0.016969577
5,6468250,0.070317928,0.116546354,0.223364986,0.039703751,0.089786567,0.009153487,0.084311747,0.052561883,0.102187793,0.049515307,0.135322887,0.130234289,0.139052058,0.141437664,0.103163738,0.100569068,0.120526175,0.061357809,0.13603003,0.146248445,0.196184531,0.279807812,0.113742079,0.468929397,0.128573463,0.075757494,0.377676666,1.319754962,2.850338289,0.922018964,0.144027317,2.159748112,25.25,1.422535211,jja,299.3,8.290858726,djf,Unconsolidated sediments,0.997372185,Water bodies,0.002627815,0,0.1667,-13.6027,0.076582573,0.058027873,0.567248843,0.372291367,2.794337778,0,0.395814955,71.25,30.31914894,238.3,66.19444444,0.132375086,218.2,10,"JAMES RIVER ABOVE ARROWWOOD LAKE NR KENSAL, ND",46.11970958,1.500000015,0.432603343,1.817085113,0.632146941,45.84773943,35.90446011,16.53213345,0.161667137,0,1.808726634,47.39972,-98.79761,508.66,4.53343,3242.61,3247.76,0.0031,1.885928678,1.687467901,0.648196083,0.506212613,1,    Croplands,0.18,1.5,0.104895105,-0.106818632
6,6353000,0.077312479,0.149035332,0.126243403,0.054775415,0.126277422,0.040211936,0.072447518,0.037588216,0.057060053,0.135091357,0.095047913,0.159951299,0.226948251,0.161290801,0.19216856,0.13940677,0.064751521,0.086502318,0.161263131,0.107812482,0.092417899,0.130251879,0.145900296,0.156637612,0.115639148,0.144960304,0.116327604,1.135227926,3.043099658,0.779534463,0.155792226,2.680606764,23.45,1.443076923,jja,300.55,8.079301075,djf,Unconsolidated sediments,0.946747545,Siliciclastic sedimentary rocks,0.05282618,0,0.2167,-13.1298,0.04258435,0.037511718,0.500005216,0.268675664,2.720722846,0,0.128638837,53.15,13.80519481,249.3,47.94230769,0.119917864,201.15,10,"CEDAR CREEK NR RALEIGH, ND",1.824680307,1.476656851,0.446695754,1.00208863,0.379351544,19.47689731,22.35083095,15.80892163,0,0,42.34813067,46.09167,-101.33374,767.71,9.54494,4526.51,4605.23,0.0001,1.244105809,1.057174541,0.491669093,0.350440526,0.68987343,    Grasslands,0.138607594,1.5,0.194871795,0.022791929
7,6468170,0.084193684,0.105043795,0.114626744,0.051720097,0.109520458,0.026741806,0.096928766,0.05503165,0.116362091,0.070913604,0.146330998,0.125256271,0.143004732,0.140260762,0.097031108,0.080908111,0.104166316,0.060326035,0.089397024,0.010583439,0.085861463,0.144128577,0.078305075,0.285549862,0.070136559,0.012031305,0.230417671,1.30774538,2.065571773,0.920667037,0.143378889,1.579490782,25.05,1.419263456,jja,301.35,8.476793249,djf,Unconsolidated sediments,0.997758901,Water bodies,0.002241099,0,0.1609,-13.7404,0.076611789,0.058583108,0.437507607,0.341759949,2.462768765,0,0.360571812,84.9,35.375,250.5,100.2,0.10294319,217.3,10,"JAMES RIVER NR GRACE CITY, ND",46.11212675,1.500000015,0.434500916,1.772915147,0.633831452,44.45819557,37.08153988,17.05438024,0.087974449,0,1.511571905,47.55805,-98.86289,516.41,4.68375,2809.1,2833.13,0.003,1.864350217,1.670750243,0.645162444,0.507387065,1,    Croplands,0.18,1.5,0.720901321,-0.009582949
8,6360500,0.100265962,0.120854654,0.100674331,0.10207498,0.092400542,0.087749834,0.107997261,0.080615408,0.057305798,0.159203407,0.114780468,0.077119068,0.147291883,0.098102646,0.097071355,0.148351739,0.099867525,0.148889747,0.150143268,0.072197925,0.03098944,0.095017287,0.126292371,0.132826801,0.125759308,0.098904789,0.123406728,1.187192334,2.279332005,0.723823144,0.152009123,1.919934909,23.15,1.433436533,jja,293.6,7.567010309,djf,Siliciclastic sedimentary rocks,0.876742856,Unconsolidated sediments,0.123257144,0,0.1657,-15.4093,0.060727551,0.051152243,0.447048018,0.287935161,4.107077198,0,0.251328191,68.5,12.68518519,249.75,44.20353982,0.146885695,214.7,10,MOREAU R NEAR WHITEHORSE SD,6.026592692,1.468031599,0.441196702,1.055526802,0.331216492,19.13510392,18.7256804,14.49241262,0.026983775,0,47.63077477,45.25582,-100.84292,802.48,10.51138,12654.96,12601.47,0.0001,0.989619968,0.798461134,0.415567689,0.272846158,0.997485539,    Grasslands,0.120150868,1.5,0.234498834,0.020180323
9,6450500,0.111166948,0.350108538,0.264884434,0.100185607,0.068511538,0.117464729,0.088032451,0.00334432,0.148406496,0.223021102,0.14036934,0.351372692,0.332375487,0.356266214,0.398395851,0.283267905,0.320294472,0.374472691,0.384422989,0.218356337,0.238486951,0.22244205,0.271495228,0.392784304,0.171485736,0.215890712,0.388134155,1.471411362,2.36722512,0.690499954,0.144339853,1.608812587,24,1.420118343,jja,285.4,6.877108434,djf,Siliciclastic sedimentary rocks,0.571683432,Unconsolidated sediments,0.428316568,0,0.1862,-14.5376,0.098503887,0.066945172,1.025187618,0.715382782,1.457847918,0.033920128,0.226134189,2.1,1.826086957,0.55,1.375,0,188.35,10,LITTLE WHITE R BELOW WHITE RIVER SD,23.87817877,1.500000015,0.416894347,1.705509009,0.468277599,50.05913609,14.11963425,7.800461117,0,0,28.0055391,43.60139,-100.74986,912.42,10.41664,4111.27,4074.44,0.0001,1.139129389,0.91752714,0.47069377,0.293508475,0.917764989,    Grasslands,0.124934101,1.5,0.064957265,0.085224104
10,7149000,0.119571299,0.289422569,0.257501685,0.159436418,0.102223402,0.122549773,0.08875771,0.084959705,0.152826658,0.113546338,0.13227039,0.306640252,0.27047319,0.322752033,0.332361236,0.309957434,0.214579455,0.303458677,0.255158276,0.172089122,0.259568413,0.299499822,0.340652415,0.264234064,0.265039612,0.237673213,0.221256817,1.975812457,3.009930007,0.581205239,0.079110059,1.523388516,25.95,1.284653465,jja,301.15,7.93544137,djf,Unconsolidated sediments,0.510868516,Siliciclastic sedimentary rocks,0.489131484,0,0.2115,-13.5872,0.184949851,0.093606987,0.909768817,0.592456138,1.806415803,0.014949397,0.526432325,7.65,2.154929577,47.8,18.03773585,0.002190281,194.55,11,"MEDICINE LODGE R NR KIOWA, KS",21.05980363,1.500000015,0.440488143,1.137586064,0.561735172,30.60762894,31.27855573,22.59679783,0,0,15.48290507,37.0392,-98.47021,558.82,8.31384,2291.2,2263.93,0.0003,1.064221246,0.767841913,0.455581505,0.238002705,0.921105234,    Grasslands,0.124733686,1.5,0.194871795,0.031920884
