Basin ID: 01022500, NSE losses: [0.6313541531562805], mean NSE losses: 0.6313541531562805
Basin ID: 01031500, NSE losses: [0.5858648419380188], mean NSE losses: 0.5858648419380188
Basin ID: 01047000, NSE losses: [0.5137395560741425], mean NSE losses: 0.5137395560741425
Basin ID: 01054200, NSE losses: [0.43668895959854126], mean NSE losses: 0.43668895959854126
Basin ID: 01055000, NSE losses: [0.41896164417266846], mean NSE losses: 0.41896164417266846
Basin ID: 01057000, NSE losses: [0.6310544013977051], mean NSE losses: 0.6310544013977051
Basin ID: 01078000, NSE losses: [0.6136778593063354], mean NSE losses: 0.6136778593063354
Basin ID: 01134500, NSE losses: [0.3940831422805786], mean NSE losses: 0.3940831422805786
Basin ID: 01137500, NSE losses: [0.48212939500808716], mean NSE losses: 0.48212939500808716
Basin ID: 01139000, NSE losses: [0.5924093127250671], mean NSE losses: 0.5924093127250671
Basin ID: 01144000, NSE losses: [0.5545557141304016], mean NSE losses: 0.5545557141304016
Basin ID: 01169000, NSE losses: [0.6304753720760345], mean NSE losses: 0.6304753720760345
Basin ID: 01170100, NSE losses: [0.5954656004905701], mean NSE losses: 0.5954656004905701
Basin ID: 01181000, NSE losses: [0.5478956699371338], mean NSE losses: 0.5478956699371338
Basin ID: 01333000, NSE losses: [0.28809434175491333], mean NSE losses: 0.28809434175491333
Basin ID: 01350000, NSE losses: [0.47116172313690186], mean NSE losses: 0.47116172313690186
Basin ID: 01365000, NSE losses: [0.5171581208705902], mean NSE losses: 0.5171581208705902
Basin ID: 01413500, NSE losses: [0.44775450229644775], mean NSE losses: 0.44775450229644775
Basin ID: 01423000, NSE losses: [0.5285314917564392], mean NSE losses: 0.5285314917564392
Basin ID: 01435000, NSE losses: [0.5809902846813202], mean NSE losses: 0.5809902846813202
Basin ID: 01439500, NSE losses: [0.4081472158432007], mean NSE losses: 0.4081472158432007
Basin ID: 01440000, NSE losses: [0.4395877718925476], mean NSE losses: 0.4395877718925476
Basin ID: 01440400, NSE losses: [0.46162158250808716], mean NSE losses: 0.46162158250808716
Basin ID: 01451800, NSE losses: [0.5722902715206146], mean NSE losses: 0.5722902715206146
Basin ID: 01485500, NSE losses: [0.45119166374206543], mean NSE losses: 0.45119166374206543
Basin ID: 01487000, NSE losses: [-0.09343719482421875], mean NSE losses: -0.09343719482421875
Basin ID: 01491000, NSE losses: [0.42356330156326294], mean NSE losses: 0.42356330156326294
