Basin ID: 02053800, NSE losses: [0.701814740896225], mean NSE losses: 0.701814740896225
Basin ID: 14158790, NSE losses: [0.8015841394662857, 0.7426586449146271], mean NSE losses: 0.7721213921904564
Basin ID: 11266500, NSE losses: [0.8324445933103561], mean NSE losses: 0.8324445933103561
Basin ID: 02112360, NSE losses: [0.3645315170288086, 0.5827414095401764, 0.5587175488471985], mean NSE losses: 0.5019968251387278
Basin ID: 12175500, NSE losses: [0.8056766986846924, 0.8558219969272614], mean NSE losses: 0.8307493478059769
Basin ID: 06278300, NSE losses: [0.7947183400392532], mean NSE losses: 0.7947183400392532
Basin ID: 03479000, NSE losses: [0.7450101375579834], mean NSE losses: 0.7450101375579834
Basin ID: 12073500, NSE losses: [0.8773603513836861], mean NSE losses: 0.8773603513836861
Basin ID: 03028000, NSE losses: [0.7974560707807541, 0.8176741003990173, 0.8228226155042648], mean NSE losses: 0.8126509288946787
Basin ID: 07362587, NSE losses: [-368.53875732421875], mean NSE losses: -368.53875732421875
Basin ID: 11381500, NSE losses: [0.8140020221471786], mean NSE losses: 0.8140020221471786
Basin ID: 14138870, NSE losses: [0.8158562928438187], mean NSE losses: 0.8158562928438187
Basin ID: 01350000, NSE losses: [0.7719202041625977, 0.7376996576786041], mean NSE losses: 0.7548099309206009
Basin ID: 09047700, NSE losses: [0.7454857528209686], mean NSE losses: 0.7454857528209686
Basin ID: 02064000, NSE losses: [0.7542127221822739], mean NSE losses: 0.7542127221822739
Basin ID: 03285000, NSE losses: [0.8257782012224197], mean NSE losses: 0.8257782012224197
Basin ID: 08013000, NSE losses: [0.8103681951761246], mean NSE losses: 0.8103681951761246
Basin ID: 13023000, NSE losses: [0.7485655546188354], mean NSE losses: 0.7485655546188354
Basin ID: 08190500, NSE losses: [0.5036945044994354], mean NSE losses: 0.5036945044994354
Basin ID: 06477500, NSE losses: [-0.5873918533325195], mean NSE losses: -0.5873918533325195
Basin ID: 12056500, NSE losses: [0.7629068344831467], mean NSE losses: 0.7629068344831467
Basin ID: 12040500, NSE losses: [0.8359778523445129], mean NSE losses: 0.8359778523445129
Basin ID: 02472000, NSE losses: [0.7945427447557449], mean NSE losses: 0.7945427447557449
Basin ID: 01054200, NSE losses: [0.7356583476066589], mean NSE losses: 0.7356583476066589
Basin ID: 03498500, NSE losses: [0.8250956833362579], mean NSE losses: 0.8250956833362579
Basin ID: 07057500, NSE losses: [0.4406413435935974], mean NSE losses: 0.4406413435935974
Basin ID: 07301410, NSE losses: [-5.032848358154297], mean NSE losses: -5.032848358154297
Basin ID: 02369800, NSE losses: [0.572986900806427, 0.6312075853347778], mean NSE losses: 0.6020972430706024
Basin ID: 08165300, NSE losses: [0.1839882731437683], mean NSE losses: 0.1839882731437683
Basin ID: 08176900, NSE losses: [0.24458974599838257], mean NSE losses: 0.24458974599838257
Basin ID: 12143600, NSE losses: [0.839552566409111], mean NSE losses: 0.839552566409111
Basin ID: 08377900, NSE losses: [0.6048361957073212], mean NSE losses: 0.6048361957073212
Basin ID: 02082950, NSE losses: [0.5588251352310181], mean NSE losses: 0.5588251352310181
Basin ID: 06847900, NSE losses: [-4.5840654373168945], mean NSE losses: -4.5840654373168945
Basin ID: 01466500, NSE losses: [0.49831074476242065, 0.5904380083084106], mean NSE losses: 0.5443743765354156
Basin ID: 04224775, NSE losses: [0.5674926936626434], mean NSE losses: 0.5674926936626434
Basin ID: 09306242, NSE losses: [0.023606717586517334], mean NSE losses: 0.023606717586517334
Basin ID: 04057510, NSE losses: [0.6038086116313934], mean NSE losses: 0.6038086116313934
Basin ID: 08269000, NSE losses: [0.657049149274826, 0.5925902128219604], mean NSE losses: 0.6248196810483932
Basin ID: 01544500, NSE losses: [0.7865145802497864], mean NSE losses: 0.7865145802497864
Basin ID: 14305500, NSE losses: [0.8963984847068787], mean NSE losses: 0.8963984847068787
Basin ID: 02298123, NSE losses: [0.6750180423259735], mean NSE losses: 0.6750180423259735
Basin ID: 02464360, NSE losses: [0.7226765751838684], mean NSE losses: 0.7226765751838684
Basin ID: 08194200, NSE losses: [0.1949390172958374], mean NSE losses: 0.1949390172958374
Basin ID: 01586610, NSE losses: [0.6440554857254028], mean NSE losses: 0.6440554857254028
Basin ID: 01169000, NSE losses: [0.8182727843523026], mean NSE losses: 0.8182727843523026
Basin ID: 02479560, NSE losses: [0.7554310113191605], mean NSE losses: 0.7554310113191605
Basin ID: 05592575, NSE losses: [0.43560659885406494], mean NSE losses: 0.43560659885406494
Basin ID: 14139800, NSE losses: [0.7887754291296005], mean NSE losses: 0.7887754291296005
Basin ID: 08267500, NSE losses: [0.811681404709816], mean NSE losses: 0.811681404709816
Basin ID: 01423000, NSE losses: [0.7415318489074707], mean NSE losses: 0.7415318489074707
Basin ID: 01552000, NSE losses: [0.6892383098602295], mean NSE losses: 0.6892383098602295
Basin ID: 01487000, NSE losses: [0.6528071463108063], mean NSE losses: 0.6528071463108063
Basin ID: 01078000, NSE losses: [0.7706053256988525], mean NSE losses: 0.7706053256988525
Basin ID: 12041200, NSE losses: [0.7537445574998856], mean NSE losses: 0.7537445574998856
Basin ID: 01439500, NSE losses: [0.746448278427124], mean NSE losses: 0.746448278427124
Basin ID: 02299950, NSE losses: [0.6138233244419098], mean NSE losses: 0.6138233244419098
Basin ID: 07359610, NSE losses: [0.6706955432891846], mean NSE losses: 0.6706955432891846
Basin ID: 04197100, NSE losses: [0.6058751344680786], mean NSE losses: 0.6058751344680786
Basin ID: 05495500, NSE losses: [0.7395838797092438], mean NSE losses: 0.7395838797092438
Basin ID: 09223000, NSE losses: [0.6670578122138977], mean NSE losses: 0.6670578122138977
Basin ID: 03368000, NSE losses: [0.5216608047485352], mean NSE losses: 0.5216608047485352
Basin ID: 01139000, NSE losses: [0.7965915650129318], mean NSE losses: 0.7965915650129318
Basin ID: 11124500, NSE losses: [0.7042129933834076], mean NSE losses: 0.7042129933834076
Basin ID: 02111500, NSE losses: [0.7709257453680038], mean NSE losses: 0.7709257453680038
Basin ID: 07362100, NSE losses: [0.817693293094635], mean NSE losses: 0.817693293094635
Basin ID: 07315700, NSE losses: [0.6063047647476196], mean NSE losses: 0.6063047647476196
Basin ID: 01547700, NSE losses: [0.7592010200023651], mean NSE losses: 0.7592010200023651
Basin ID: 11264500, NSE losses: [0.8734766840934753, 0.9008785709738731, 0.9036794453859329], mean NSE losses: 0.8926782334844271
Basin ID: 06280300, NSE losses: [0.8951370939612389], mean NSE losses: 0.8951370939612389
Basin ID: 02193340, NSE losses: [0.6261597871780396], mean NSE losses: 0.6261597871780396
Basin ID: 09430600, NSE losses: [0.5756532847881317], mean NSE losses: 0.5756532847881317
Basin ID: 07083000, NSE losses: [0.8603452295064926], mean NSE losses: 0.8603452295064926
Basin ID: 08070000, NSE losses: [0.7829386591911316], mean NSE losses: 0.7829386591911316
Basin ID: 14362250, NSE losses: [0.6337457299232483], mean NSE losses: 0.6337457299232483
Basin ID: 11451100, NSE losses: [0.7751014679670334], mean NSE losses: 0.7751014679670334
Basin ID: 07299670, NSE losses: [-0.510765790939331], mean NSE losses: -0.510765790939331
Basin ID: 06350000, NSE losses: [0.018219828605651855], mean NSE losses: 0.018219828605651855
Basin ID: 04040500, NSE losses: [0.723036527633667], mean NSE losses: 0.723036527633667
Basin ID: 02128000, NSE losses: [0.7015445530414581], mean NSE losses: 0.7015445530414581
Basin ID: 14400000, NSE losses: [0.8609907329082489], mean NSE losses: 0.8609907329082489
Basin ID: 04105700, NSE losses: [0.0824316143989563], mean NSE losses: 0.0824316143989563
Basin ID: 09510200, NSE losses: [0.20283883810043335], mean NSE losses: 0.20283883810043335
Basin ID: 01055000, NSE losses: [0.7564025521278381], mean NSE losses: 0.7564025521278381
Basin ID: 11230500, NSE losses: [0.7710627019405365], mean NSE losses: 0.7710627019405365
Basin ID: 06889200, NSE losses: [0.7305447459220886], mean NSE losses: 0.7305447459220886
Basin ID: 07196900, NSE losses: [0.7558135837316513], mean NSE losses: 0.7558135837316513
Basin ID: 06614800, NSE losses: [0.9192881211638451], mean NSE losses: 0.9192881211638451
Basin ID: 01195100, NSE losses: [0.8118280917406082], mean NSE losses: 0.8118280917406082
Basin ID: 01667500, NSE losses: [0.5471557378768921], mean NSE losses: 0.5471557378768921
Basin ID: 03238500, NSE losses: [0.6419965922832489], mean NSE losses: 0.6419965922832489
Basin ID: 03463300, NSE losses: [0.648654967546463], mean NSE losses: 0.648654967546463
Basin ID: 01545600, NSE losses: [0.8047427982091904], mean NSE losses: 0.8047427982091904
Basin ID: 02059500, NSE losses: [0.42068713903427124], mean NSE losses: 0.42068713903427124
Basin ID: 01644000, NSE losses: [0.8118644654750824], mean NSE losses: 0.8118644654750824
Basin ID: 14020000, NSE losses: [0.5868057906627655], mean NSE losses: 0.5868057906627655
Basin ID: 11480390, NSE losses: [0.7155336141586304], mean NSE losses: 0.7155336141586304
Basin ID: 13240000, NSE losses: [0.9245607182383537], mean NSE losses: 0.9245607182383537
